customerid,y_prob
5043-TRZWM,0.9581324082191003
7577-SWIFR,0.9581324082191003
4273-MBHYA,0.9581324082191003
5542-TBBWB,0.9581324082191003
2262-SLNVK,0.9581324082191003
7465-ZZRVX,0.9581324082191003
4912-PIGUY,0.9581324082191003
8775-ERLNB,0.9581324082191003
2424-WVHPL,0.9581324082191003
2018-QKYGT,0.9581324082191003
1393-IMKZG,0.9581324082191003
1941-HOSAM,0.9581324082191003
3878-AVSOQ,0.9581324082191003
8687-BAFGU,0.9581324082191003
1628-BIZYP,0.9581324082191003
9840-EFJQB,0.9581324082191003
9605-WGJVW,0.9581324082191003
1640-PLFMP,0.9581324082191003
7439-DKZTW,0.9581324082191003
1452-VOQCH,0.9581324082191003
0021-IKXGC,0.9581324082191003
9603-OAIHC,0.9581324082191003
5032-MIYKT,0.932621940228559
1746-TGTWV,0.932621940228559
9617-INGJY,0.932621940228559
2920-RNCEZ,0.932621940228559
2468-SJFLM,0.932621940228559
1866-OBPNR,0.932621940228559
8040-MNRTF,0.932621940228559
2254-DLXRI,0.932621940228559
2792-LSHWX,0.932621940228559
8309-IEYJD,0.932621940228559
9050-IKDZA,0.8715048847394004
2905-KFQUV,0.8715048847394004
9799-CAYJJ,0.8715048847394004
4482-EWFMI,0.8715048847394004
6923-JHPMP,0.8715048847394004
6407-UTSLV,0.8715048847394004
4234-XTNEA,0.8715048847394004
7321-VGNKU,0.8715048847394004
2080-GKCWQ,0.8715048847394004
2880-FPNAE,0.8715048847394004
5119-NZPTV,0.8715048847394004
4770-UEZOX,0.8715048847394004
2545-EBUPK,0.8715048847394004
3717-OEAUQ,0.8715048847394004
3422-GALYP,0.8715048847394004
4137-BTIKL,0.8715048847394004
5091-HFAZW,0.8715048847394004
4927-WWOOZ,0.8715048847394004
7379-FNIUJ,0.8715048847394004
4741-WWJQZ,0.8715048847394004
4929-XIHVW,0.8715048847394004
9717-QEBGU,0.8715048847394004
3295-YVUSR,0.8715048847394004
3489-HHPFY,0.8715048847394004
7394-LWLYN,0.8715048847394004
5442-BHQNG,0.8715048847394004
2897-DOVND,0.8715048847394004
6856-RAURS,0.8715048847394004
4450-DLLMH,0.8715048847394004
3420-YJLQT,0.8715048847394004
0139-IVFJG,0.8715048847394004
0722-SVSFK,0.8478025120957169
0225-ZORZP,0.8478025120957169
5760-FXFVO,0.8478025120957169
0641-EVBOJ,0.8478025120957169
3223-DWFIO,0.8478025120957169
4132-KALRO,0.8478025120957169
4060-LDNLU,0.8478025120957169
4847-TAJYI,0.8478025120957169
4029-HPFVY,0.8478025120957169
0793-TWELN,0.8478025120957169
2674-MIAHT,0.8478025120957169
2984-AFWNC,0.8478025120957169
8873-GLDMH,0.8478025120957169
8035-PWSEV,0.8478025120957169
9334-GWGOW,0.8478025120957169
6175-IRFIT,0.8478025120957169
2038-OEQZH,0.8478025120957169
5339-PXDVH,0.8478025120957169
6034-YMTOB,0.8478025120957169
5150-ITWWB,0.8478025120957169
4115-NZRKS,0.8478025120957169
8266-VBFQL,0.8478025120957169
7044-YAACC,0.8478025120957169
9398-MMQTO,0.8478025120957169
4343-EJVQB,0.8478025120957169
